Contig	Gene	Length	Gene id	function	Hit	Contig	Gene	Gene id	percent identity 1587.866	function
1	1	29	fig|1587.865.peg.1	Mobile element protein	bi	1	1	fig|1587.866.peg.1	100	Mobile element protein
2	2	47	fig|1587.865.peg.2	Transposase	bi	2	2	fig|1587.866.peg.2	100	Transposase
3	3	80	fig|1587.865.peg.3	Mobile element protein	bi	3	3	fig|1587.866.peg.3	100	Mobile element protein
4	4	46	fig|1587.865.peg.4	Mobile element protein	bi	4	4	fig|1587.866.peg.4	100	Mobile element protein
5	5	42	fig|1587.865.peg.5	Transposase	bi	5	5	fig|1587.866.peg.5	100	Transposase
6	6	23	fig|1587.865.peg.6	Mobile element protein	uni	6	6	fig|1587.866.peg.6	100	Mobile element protein
7	7	23	fig|1587.865.peg.7	Mobile element protein	bi	7	7	fig|1587.866.peg.7	100	Mobile element protein
8	8	50	fig|1587.865.peg.8	Mobile element protein	bi	8	8	fig|1587.866.peg.8	100	Mobile element protein
9	9	51	fig|1587.865.peg.9	Mobile element protein	bi	9	9	fig|1587.866.peg.9	100	Mobile element protein
10	10	42	fig|1587.865.peg.10	Mobile element protein	bi	10	10	fig|1587.866.peg.10	100	Mobile element protein
11	11	22	fig|1587.865.peg.11	Transposase	bi	11	11	fig|1587.866.peg.11	100	Transposase
12	12	24	fig|1587.865.peg.12	hypothetical protein	bi	12	12	fig|1587.866.peg.12	100	hypothetical protein
13	13	25	fig|1587.865.peg.13	Mobile element protein	bi	13	13	fig|1587.866.peg.13	100	Mobile element protein
14	14	53	fig|1587.865.peg.14	Transposase, IS4 family	bi	14	14	fig|1587.866.peg.14	100	Transposase, IS4 family
15	15	22	fig|1587.865.peg.15	Mobile element protein	bi	15	15	fig|1587.866.peg.15	100	Mobile element protein
16	16	41	fig|1587.865.peg.16	Mobile element protein	bi	16	16	fig|1587.866.peg.16	100	Mobile element protein
17	17	42	fig|1587.865.peg.17	Mobile element protein	bi	17	17	fig|1587.866.peg.17	100	Mobile element protein
18	18	26	fig|1587.865.peg.18	Mobile element protein	bi	18	18	fig|1587.866.peg.18	100	Mobile element protein
19	19	42	fig|1587.865.peg.19	Mobile element protein	bi	19	19	fig|1587.866.peg.19	100	Mobile element protein
20	20	42	fig|1587.865.peg.20	Mobile element protein	bi	20	20	fig|1587.866.peg.20	100	Mobile element protein
21	21	38	fig|1587.865.peg.21	Mobile element protein	bi	21	21	fig|1587.866.peg.21	100	Mobile element protein
22	22	42	fig|1587.865.peg.22	Mobile element protein	bi	22	22	fig|1587.866.peg.22	100	Mobile element protein
